Month,鯉魚潭,七星潭,太魯閣,秀姑巒溪遊客中心,海洋公園,石雕博物館,慶修院,松園別館,林田山,南安遊客中心,東大門夜市,親不知子天空古道,合計
1,191308,139079,393428,15967,47516,5051,28392,20761,28328,5571,210000,-,1085401
2,119384,130927,440912,15069,50821,8135,34130,22722,12853,6490,86400,-,927843
3,66912,95674,332935,15318,22819,7447,13158,11294,8249,5295,80800,-,659901
4,111734,101296,413025,16966,48003,3625,22362,18613,11605,4854,87000,-,839083
5,124963,107150,451193,21168,36686,18611,18175,17611,9831,5740,87800,-,898928
6,78230,93098,263875,14535,25286,4951,10814,14369,9518,5580,62500,-,582756
7,115103,132423,460362,25955,63844,12791,22227,22583,10306,4145,134000,-,1003739
8,111795,129234,511882,28923,71879,10748,30077,26974,14464,-,159500,-,1095476
9,84424,119493,321018,16600,23473,4956,12737,16028,7878,-,106000,44084,756691
10,108940,105500,385064,22222,42674,12189,22143,20202,11285,-,107500,45064,882783
11,,,,,,,,,,,,,0
12,,,,,,,,,,,,,0
合計,1112793,1153874,3973694,192723,433001,88504,214215,191157,124317,37675,1121500,89148,8732601
